"playerID","yearID","stint","teamID","lgID","G.x","AB.x","R.x","H.x","X2B.x","X3B.x","HR.x","RBI.x","SB.x","CS.x","BB.x","SO.x","IBB.x","HBP.x","SH.x","SF.x","GIDP.x","P_RC2002","P_OPS"
36,1955,1,22,0,119,388,59,96,16,7,10,51,10,5,55,45,5,6,2,4,8,4.0601568627451,1.113
113,1955,1,93,1,139,492,97,137,20,5,20,53,8,4,56,65,1,8,4,3,4,2.55203174603175,0.857
151,1955,1,93,1,147,541,84,147,20,3,27,108,1,0,60,20,6,7,2,5,13,6.79725396825397,1.083
157,1955,1,22,0,24,20,1,2,0,0,0,2,0,0,0,8,0,0,3,0,1,-0.110666666666667,0
292,1955,1,93,1,45,78,6,16,1,1,1,6,0,0,8,15,0,0,1,2,3,-0.288,0.333
309,1955,1,22,0,123,446,81,142,20,1,32,107,2,3,56,41,9,6,5,9,14,5.15575913978494,0.926
321,1955,1,93,1,135,510,73,131,19,11,7,47,3,3,44,51,6,1,8,7,11,1.10644444444444,2
352,1955,1,93,1,55,85,17,29,4,2,3,22,4,0,7,16,0,3,1,0,1,0.0521388888888872,0.438
400,1955,1,93,1,43,96,12,22,5,0,0,8,0,2,11,11,0,2,3,0,3,-0.310666666666667,0
404,1955,1,93,1,105,278,40,65,9,1,13,45,0,2,44,32,2,2,3,3,7,3.87924938271605,1.111
587,1955,1,22,0,42,74,12,15,3,0,1,11,0,0,0,12,0,0,0,2,1,-0.1,0
644,1955,1,93,1,39,86,9,14,0,0,1,7,0,0,11,16,0,0,3,0,1,-0.296031746031746,0.143
678,1955,1,22,0,140,523,83,164,24,3,26,95,4,5,43,43,5,7,1,4,15,4.72647311827957,0.832
731,1955,1,22,0,147,538,110,134,20,8,7,40,15,15,70,37,4,6,11,2,8,4.86315138888889,0.802
795,1955,1,93,1,26,25,2,3,0,0,0,1,0,0,1,9,0,1,4,0,0,-0.2,0
919,1955,1,22,0,94,279,50,67,13,3,5,19,9,5,46,50,0,1,6,0,9,1.11,0.933
921,1955,1,22,0,150,546,75,158,24,5,27,102,2,1,80,91,3,3,3,10,16,4.01614712643678,0.774
942,1955,1,93,1,97,279,33,81,8,7,10,43,0,0,20,36,5,1,1,4,4,1.87005714285715,0.53
1062,1955,1,22,0,39,80,12,26,4,2,4,19,0,1,9,10,0,0,0,2,1,0.0333333333333332,0.667
1122,1955,1,22,0,60,31,4,3,0,0,3,5,0,0,3,18,0,0,3,0,0,-0.432,0
1148,1955,1,93,1,21,41,4,6,1,0,2,7,0,0,4,13,0,0,0,0,1,-0.2,0
1201,1955,1,22,0,22,44,2,4,0,0,0,0,1,0,3,15,0,0,3,0,1,-0.1,0
1256,1955,1,93,1,147,517,121,158,25,11,37,99,8,1,113,97,6,3,2,3,4,0.694444444444445,0.7
1271,1955,1,93,1,20,70,8,21,2,0,1,9,1,2,7,9,1,0,1,2,2,2.99538461538462,0.786
1331,1955,1,93,1,141,533,79,152,10,8,13,53,6,4,65,77,2,2,8,7,6,3.58429885057471,0.681
1367,1955,1,22,0,18,27,1,1,1,0,0,2,0,0,1,10,0,0,2,0,0,-0.210666666666667,0
1481,1955,1,22,0,57,117,18,42,9,1,7,23,1,0,6,18,0,1,1,0,1,-0.3,0
1501,1955,1,93,1,132,371,49,94,19,1,8,59,5,2,43,33,5,3,0,6,6,-2.32941176470588,0.18
1640,1955,1,22,0,32,60,9,11,2,0,0,5,0,1,4,5,0,0,4,0,1,0.0108388888888884,0.286
1706,1955,1,22,0,145,553,99,156,29,4,10,61,8,7,78,60,1,3,13,5,22,3.7430422939068,0.7
1748,1955,1,93,1,81,143,19,37,4,1,1,9,7,1,22,18,1,3,13,0,2,2.96702222222222,0.717
1759,1955,1,93,1,88,173,25,36,1,0,16,42,0,0,36,26,7,5,0,1,7,2.263,1.5
1761,1955,1,22,0,105,317,51,81,6,2,8,36,12,3,61,18,5,3,6,3,8,1.28382962962963,0.568
1893,1955,1,22,0,44,51,8,14,2,0,1,8,0,0,11,10,1,2,0,0,2,-0.1,0
1909,1955,1,93,1,108,288,46,92,17,3,12,61,1,1,21,32,4,3,0,2,11,2.66014814814815,1.083
1927,1955,1,22,0,148,538,126,166,34,6,42,136,9,7,104,87,19,1,4,6,9,6.93664444444444,1.21
2087,1955,1,93,1,36,82,7,11,4,0,0,7,0,0,6,21,0,1,8,1,3,-0.1,0
2260,1955,1,22,0,88,280,38,67,10,1,15,50,5,3,19,66,5,2,4,4,7,1.15742222222222,0.556
36,1956,1,22,0,114,292,53,76,11,8,16,58,3,4,59,51,6,1,8,1,4,-0.628158730158731,0.195
113,1956,1,93,1,147,539,96,130,18,7,26,84,4,2,59,72,3,2,7,5,11,3.9773875,0.656
151,1956,1,93,1,140,521,93,155,29,2,30,105,3,2,65,29,7,5,1,5,8,7.79764750957855,1.248
157,1956,1,22,0,38,18,0,2,0,0,0,1,0,0,0,5,0,0,1,1,1,0.908533333333333,1.167
292,1956,1,93,1,44,52,8,14,1,1,3,10,0,0,2,11,1,0,2,0,1,-0.1,0
309,1956,1,22,0,124,388,39,85,6,1,20,73,1,0,66,61,15,1,4,2,20,1.25909135802469,0.487
321,1956,1,93,1,132,422,54,100,18,2,7,50,9,6,45,53,4,2,6,5,9,0.431111111111111,0.358
352,1956,1,93,1,54,115,16,35,5,6,3,25,0,1,18,13,0,0,1,1,3,0.705555555555555,2
400,1956,1,93,1,80,183,15,47,5,1,0,18,1,2,12,33,2,1,6,1,5,-0.1688,0
404,1956,1,93,1,100,262,38,59,5,3,7,43,3,1,34,33,2,1,1,3,5,1.574,0.638
436,1956,1,22,0,35,61,1,1,0,0,0,1,0,0,6,33,0,0,5,1,0,0.536111111111111,1
587,1956,1,22,0,32,66,1,8,1,0,0,0,0,0,0,8,0,0,5,0,1,-0.110666666666667,0
644,1956,1,93,1,31,78,9,17,2,0,0,4,0,0,9,14,0,0,5,0,0,-0.762,0
678,1956,1,22,0,149,523,66,151,30,0,21,83,1,1,57,41,15,1,2,4,27,2.61502880658436,0.616
731,1956,1,22,0,153,594,102,178,23,8,6,43,21,9,95,39,6,4,6,2,5,0.663522580645157,0.374
921,1956,1,22,0,153,550,86,146,29,4,32,87,3,3,76,91,10,0,5,2,16,5.05612345679012,0.929
942,1956,1,93,1,98,290,35,76,8,3,5,34,0,1,21,30,6,1,2,2,11,1.85288888888889,1.6
990,1956,1,22,0,101,307,37,84,15,7,8,53,2,1,28,38,3,2,4,5,13,-0.321333333333334,0
1117,1956,1,93,1,34,77,7,11,1,0,0,1,0,0,7,25,0,1,6,0,0,-0.279466666666667,0
1122,1956,1,22,0,62,23,0,2,0,0,0,1,0,0,1,14,0,1,0,0,1,0.407388888888888,0.75
1148,1956,1,93,1,45,79,10,19,5,0,2,12,0,0,6,17,0,0,1,0,2,0.434477777777777,0.667
1248,1956,2,22,0,28,70,1,9,0,0,0,2,0,0,1,29,0,0,2,0,1,-0.852888888888889,0
1256,1956,1,93,1,150,533,132,188,22,5,52,130,10,1,112,99,6,2,1,4,4,5.9300962962963,1.067
1271,1956,1,93,1,121,458,76,121,24,5,9,49,7,3,30,56,0,3,8,5,8,3.95294444444445,0.84
1328,1956,1,93,1,46,52,4,11,0,0,1,4,0,0,8,13,0,0,1,0,4,0.705555555555555,2
1331,1956,1,93,1,120,438,79,136,13,3,13,56,3,8,68,59,1,3,7,2,5,0.967938461538463,0.383
1387,1956,2,22,0,19,24,3,7,1,0,0,1,0,0,0,3,0,0,0,0,2,-0.410666666666667,0
1426,1956,1,93,1,41,13,1,2,0,0,0,0,0,0,1,5,0,0,3,0,0,0.705555555555555,2
1473,1956,1,22,0,62,136,22,39,5,1,2,14,2,2,14,19,1,0,0,0,2,-0.410666666666667,0
1481,1956,1,22,0,52,111,13,26,6,0,2,16,1,0,12,18,0,1,3,1,4,-0.1,0
1706,1956,1,22,0,147,572,85,147,19,2,9,46,13,4,56,69,1,1,15,4,14,2.65985185185185,0.572
1761,1956,1,22,0,117,357,61,98,15,2,10,43,12,5,60,32,2,3,9,2,9,3.65055172413792,0.796
1894,1956,1,93,1,54,162,27,33,1,4,4,21,1,1,19,38,0,0,2,1,3,-0.1,0
1909,1956,1,93,1,134,464,78,143,21,6,23,90,4,4,50,60,3,6,2,1,16,0.33611111111111,0.5
1911,1956,2,93,1,24,83,15,24,4,2,0,4,1,1,5,6,0,0,1,0,0,5.04863111111111,0.94
1927,1956,1,22,0,151,542,112,158,33,2,43,101,3,3,99,101,26,1,6,4,16,5.33525925925926,0.912
1993,1956,1,93,1,32,64,5,20,1,1,0,5,0,0,0,7,0,0,3,1,0,0.400814814814814,0.667
2087,1956,1,93,1,27,46,5,8,2,0,0,3,0,1,3,16,0,0,3,0,0,-0.410666666666667,0
2147,1956,1,22,0,54,146,5,31,6,1,3,20,0,1,7,18,2,0,1,2,3,-0.533333333333333,0
2209,1956,2,93,1,11,12,1,2,0,0,0,0,0,0,3,0,0,0,0,0,0,-0.110666666666667,0
1,1957,1,80,0,151,615,118,198,27,6,44,132,1,1,57,58,15,0,0,3,13,8.29393103448275,1.2
8,1957,1,80,0,65,209,31,60,13,2,12,38,0,0,20,51,3,1,0,1,7,-0.160814814814815,0.4
113,1957,1,93,1,137,479,70,124,22,9,18,65,7,2,42,64,4,4,6,4,8,4.66655555555555,0.862
151,1957,1,93,1,134,482,74,121,14,2,24,82,1,2,57,24,10,1,1,4,11,5.41135632183907,0.894
265,1957,1,80,0,34,73,4,6,0,0,0,4,0,0,6,34,0,0,3,0,1,-0.110666666666667,0
270,1957,1,80,0,41,88,11,13,2,0,2,9,0,0,3,22,0,1,4,1,4,-0.436206060606061,0.111
292,1957,1,93,1,35,37,5,7,2,0,3,8,0,0,3,11,0,0,0,0,0,0.523222222222222,1
321,1957,1,93,1,85,247,30,63,6,5,6,33,2,2,15,42,3,5,4,2,7,1.19591666666667,0.804
400,1957,1,93,1,72,157,23,42,7,2,2,12,1,1,20,21,0,1,2,0,7,4.89413162393162,0.895
404,1957,1,93,1,79,149,17,30,1,0,2,10,2,1,24,18,2,0,0,1,4,-0.532,0
430,1957,1,80,0,96,328,51,93,4,8,21,65,4,1,29,44,7,2,5,7,5,1.67079047619048,0.519
437,1957,1,80,0,118,383,45,97,11,2,15,46,1,2,30,38,9,1,4,2,13,1.56644444444445,0.618
529,1957,1,93,1,46,35,3,7,0,0,0,2,0,0,0,9,0,0,1,0,1,-0.110666666666667,0
644,1957,1,93,1,24,42,4,6,0,0,0,2,0,0,3,7,0,0,5,0,0,-0.510666666666666,0
876,1957,1,80,0,41,134,26,54,12,0,7,27,1,3,18,15,4,1,2,0,1,0.387190476190478,0.368
942,1957,1,93,1,110,356,33,90,13,4,8,44,2,5,16,43,6,0,6,2,18,1.68444444444444,0.879
1024,1957,1,80,0,30,17,1,6,1,0,1,7,0,0,0,3,0,0,1,0,0,-0.110666666666667,0
1045,1957,1,80,0,30,79,5,21,2,1,2,8,0,0,3,7,1,0,1,0,0,0.121407407407407,0.333
1114,1957,1,93,1,127,431,56,128,21,3,3,39,6,6,24,48,3,3,13,4,4,3.92133026819923,0.786
1148,1957,1,93,1,31,56,6,14,5,0,0,5,0,1,6,11,0,0,0,1,3,0.440666666666667,0.5
1203,1957,1,80,0,129,494,59,135,19,7,10,49,5,0,31,49,2,4,8,4,14,2.91615053763441,0.624
1230,1957,1,93,1,40,103,15,35,6,2,0,11,2,2,9,13,0,0,0,1,1,1.38888888888889,0.619
1255,1957,1,80,0,71,182,28,43,9,1,4,21,2,0,14,34,2,2,1,1,3,-1.02266666666667,0.091
1256,1957,1,93,1,144,474,121,173,28,6,34,94,16,3,146,75,23,0,0,3,5,2.6390303030303,0.785
1291,1957,1,80,0,148,572,109,167,28,9,32,94,3,1,90,79,5,0,2,2,6,4.82113548387096,0.933
1331,1957,1,93,1,141,539,87,156,25,9,13,62,2,5,59,71,1,4,19,3,12,3.02897931034482,0.571
1556,1957,1,80,0,83,220,31,61,6,1,8,27,1,0,10,22,2,1,1,3,6,1.01851851851852,0.481
